id,filename,path,text,num_chars,duration,sample_rate
56,494647.wav,wavs\494647.wav,"Эту прямую, без посредников, сделку с читателями писатель рассматривает как замечательный способ утереть нос издательской индустрии.",132,10.344,44100
57,384114.wav,wavs\384114.wav,Говорилось и о вреде мультфильма для детской психики.,53,3.84,44100
58,267865.wav,wavs\267865.wav,В связи с этим НТВ рассматривает возможность прекращения вещания на эту страну.,79,5.851,44100
59,251872.wav,wavs\251872.wav,Также Асад пообещал не прекращать борьбу с терроризмом и во время мирного процесса.,83,5.512,44100
60,324012.wav,wavs\324012.wav,"Также шестнадцатого марта стадию 1/8 финала преодолел мадридский ""Реал"", обыгравший французский ""Лион"".",103,9.221,44100
61,024549.wav,wavs\024549.wav,"Так, бывший замминистра транспорта Олег Скворцов отметил, что девяносто пять процентов ДТП в России происходит из-за ошибок водителей.",134,9.639,44100
62,167398.wav,wavs\167398.wav,"По предварительным данным, ранение не повлекло серьезных последствий для здоровья полицейского.",95,6.531,44100
63,281166.wav,wavs\281166.wav,"В частности, в две тысячи седьмой году корпорация Mirax Group Сергея Полонского приобрела пятизвездочный отель Sungate Port Royal в Кемере.",139,11.102,44100
64,268950.wav,wavs\268950.wav,"Как отметил глава Росавиации Александр Нерадько, в обеспечении безопасности авиагаваней «заметен прогресс».Об этом сообщает ТАСС.",129,9.691,44100
65,091713.wav,wavs\091713.wav,"Новому адвокату Николаю Титаренко, по словам Тимошенко, нужно время, чтобы ознакомиться с делом по ее словам - не меньше месяца.",128,10.344,44100
66,536000.wav,wavs\536000.wav,В настоящее время ведутся поиски хозяев розового кота.,54,4.676,44100
67,264587.wav,wavs\264587.wav,Малкин повторил личный рекорд по очкам в матче плей-офф.,56,4.18,44100
68,121427.wav,wavs\121427.wav,"На booking он есть, в google есть, а тут нет.",45,4.127,44100
69,064295.wav,wavs\064295.wav,На землю он не претендует по договору дарения он отказался и от нее.,68,4.833,44100
70,169951.wav,wavs\169951.wav,"Бдительные работники банка приняли за террориста жителя Ростова-на-Дону, который пытался покинуть свою запертую квартиру через окно.",132,9.796,44100
71,165344.wav,wavs\165344.wav,Судебный процесс по делу Хамдана начался двадцать первого июня.,63,4.728,44100
72,519701.wav,wavs\519701.wav,"На постере написано «поимел», причем буква «м» заменена на разработанный студией Лебедева логотип Московского метрополитена.",124,10.475,44100
73,051909.wav,wavs\051909.wav,Из них в активной стадии строительства находятся около сто восемьдесят проектов.,80,6.165,44100
74,137067.wav,wavs\137067.wav,"О том, что Росляков действовал в одиночку, заявил глава Крыма Сергей Аксенов, передает ТАСС.",92,6.949,44100
75,124367.wav,wavs\124367.wav,"Как отметили в Госдепе, американские и другие иностранные туристы становятся в Турции целями атак террористов.",110,8.359,44100
76,351014.wav,wavs\351014.wav,"""Ужасно слушать горстку одних и тех же песен, выкрикиваемых ночь за ночью, но как я могу отказать?",98,5.799,44100
77,280026.wav,wavs\280026.wav,"Кервьель, в частности, просил ассистента проводить фиктивные транзакции, а тот делал это, зная, что операции не санкционированы банком.",135,10.214,44100
78,302189.wav,wavs\302189.wav,Замыкает тройку Санкт-Петербург и Северо-Западный федеральный округ в целом.,76,5.616,44100
79,198131.wav,wavs\198131.wav,Всего Министерство обороны России намерено получить одиннадцать новых Ил-96.,76,6.531,44100
80,505216.wav,wavs\505216.wav,В части курса для пять класса автор учебника переходит от объяснения понятий к построению христианского мировоззрения.,118,7.889,44100
81,211651.wav,wavs\211651.wav,До сих пор отдельные законодатели и политики использовали YouTube только по собственной инициативе.,99,7.758,44100
82,423928.wav,wavs\423928.wav,"В частности, компания предлагает такую услугу, как размещение рекламы на световых панелях в ВУЗах Москвы, Петербурга и других городах.",134,10.214,44100
83,235152.wav,wavs\235152.wav,"Строительство начнется в текущем году и завершится — в 2017-м, сообщил ТАСС руководитель Федерального медико-биологического агентства ФМБА Владимир Уйба.",153,12.852,44100
84,246106.wav,wavs\246106.wav,"Четыре человека пострадали в результате пожара в жилом доме в центре Москвы, сообщает ""Интерфакс"".",98,6.504,44100
85,113367.wav,wavs\113367.wav,В нынешнем году в конкурсе приняли участие сорок пять предпринимательниц из восемь регионов России.,99,7.34,44100
86,048328.wav,wavs\048328.wav,"Пометы были оставлены в текстах современника реформатора — итальянского монаха, поэта и гуманиста Баттисты Мантовано.",117,10.162,44100
87,367721.wav,wavs\367721.wav,Убийство чернокожего подростка в Сэнфорде произошло двадцать шестого февраля.,77,5.93,44100
88,288857.wav,wavs\288857.wav,"Кроме того, члены OurMine опубликовали сообщение с хэштегом Xbox4Ever «Xbox навсегда», однако затем признались, что пошутили.",125,11.651,44100
89,416711.wav,wavs\416711.wav,"На данный момент идут обсуждения, вносятся поправки и предложения», — сказал Мединский.",87,6.687,44100
90,449560.wav,wavs\449560.wav,"Туда также попали перевозчики из Италии, Швейцарии и Индии.",59,4.963,44100
91,033447.wav,wavs\033447.wav,Сейчас показ матчей английской лиги Sky Sport ведет совместно с BBC.,68,5.512,44100
92,155612.wav,wavs\155612.wav,"Это, в частности, потребует закупок радиолокационных станций миллиметрового диапазона.",86,5.669,44100
93,339156.wav,wavs\339156.wav,"Как рассказал начальник управления по работе с персоналом «ЧТЗ-Уралтрак» Владимир Егорнин, принято решение о господдержке предприятия.",134,10.109,44100
94,060047.wav,wavs\060047.wav,После релиза шутер получил низкие оценки и не обрел популярности среди фанатов Дюка Нюкема.,91,6.949,44100
95,065737.wav,wavs\065737.wav,Объединенная авиастроительная корпорация подвела промежуточные итоги работы на авиасалоне МАКС-2011 в Жуковском.,112,9.613,44100
96,027648.wav,wavs\027648.wav,"Его слова в понедельник, восемь февраля, приводит «Интерфакс».",62,3.997,44100
97,323095.wav,wavs\323095.wav,Женщина впервые высказалась публично насчет этой темы.,54,3.997,44100
98,406193.wav,wavs\406193.wav,"По его словам, все желающие могут позвонить с подконтрольных Киеву территорий на телефон горячей линии МВД ЛНР и передать информацию.",133,10.475,44100
99,227324.wav,wavs\227324.wav,Ребенка доставили в одну из больниц города.,43,3.657,44100
100,464043.wav,wavs\464043.wav,За эту сумму туристы могут выбрать один из двух вариантов ночлега.,66,4.075,44100
101,036095.wav,wavs\036095.wav,"Физики доказали, что ключевую роль при ультразвуковой очистке играют микроскопические пузыри.",93,6.713,44100
102,037894.wav,wavs\037894.wav,Об этом заявил глава «Лукойла» Вагит Алекперов в эфире телеканала «Россия 24».,78,6.713,44100
103,361899.wav,wavs\361899.wav,"Moncrief пыталась доказать, что имеет право на 40-процентную долю в Южно-Русском месторождении газа.",100,7.001,44100
104,017555.wav,wavs\017555.wav,"Новый интерфейс доступен для всех доменных зон, в которых расположена поисковая машина Google.",94,6.269,44100
105,295914.wav,wavs\295914.wav,"Дата начала съемок проекта все еще не назначена, хотя ранее Columbia Pictures планировала начать работу над картиной летом две тысячи восьмой года.",147,10.292,44100
106,325033.wav,wavs\325033.wav,"Марихуана, которую Койтсьер и его сообщники посылали в Великобританию, имеет голландское происхождение.",103,8.96,44100
107,121455.wav,wavs\121455.wav,Его отвезли в местную клинику для оценки психического состояния и проверки на употребление наркотиков.,102,7.184,44100
108,174191.wav,wavs\174191.wav,"Он покинул страну в феврале 2014-го после насильственной смены власти, сопровождавшейся массовыми протестами в Киеве и других городах.",134,11.651,44100
109,514804.wav,wavs\514804.wav,Для обладателей возвратных билетов предельный вес бесплатного багажа составит десять килограммов.,97,7.34,44100
110,066174.wav,wavs\066174.wav,"Инфляция на две тысячи четырнадцатого годаод прогнозируется на уровне в пять процентов, на 2015-две тысячи шестнадцатого годаоды — 4,5 процента.",144,13.976,44100
111,295501.wav,wavs\295501.wav,Встреча состоялась в Кенсингтонском дворце в шестнадцать часов ноль минут тридцатого октября тысяча девятьсот девяносто пятого года.,132,11.128,44100
112,228720.wav,wavs\228720.wav,"Обязательства по контракту Northrop Grumman, как ожидается, выполнит к концу июня две тысячи девятнадцатого года.",113,8.255,44100
113,290783.wav,wavs\290783.wav,Госкорпорация «Росатом» не получала от украинской стороны никакого официального отказа от сотрудничества по проекту достройки Хмельницкой АЭС.,142,11.311,44100
114,484080.wav,wavs\484080.wav,"В июле компания сообщила, что может продать два комплекса, которые были построены шестьдесят лет назад с помощью государства.",125,8.359,44100
115,009664.wav,wavs\009664.wav,"Обвинение считает ее руководителем местной ячейки террористической сети ""Аль-Каеда"".",84,7.131,44100
116,140829.wav,wavs\140829.wav,Об этом говорится в постановлении коллегии судебной палаты по хозяйственным делам Верховного суда.,98,5.747,44100
117,532543.wav,wavs\532543.wav,Во втором квартале этот показатель также упал.,46,3.37,44100
118,353014.wav,wavs\353014.wav,Задержание произошло недалеко от итальянской столицы.,53,4.206,44100
119,354785.wav,wavs\354785.wav,"- Потом вывезем куда-нибудь, а на следующий день они проснутся"".",64,5.016,44100
120,094695.wav,wavs\094695.wav,"«День был результативный, а его концовка — красочной.",53,4.206,44100
121,083048.wav,wavs\083048.wav,Stockmann работает в шестнадцать странах.,41,3.056,44100
122,285207.wav,wavs\285207.wav,"В две тысячи пятом году коллектив объявил о прекращении творческой деятельности, а его участники занялись сольными проектами.",125,8.908,44100
123,011287.wav,wavs\011287.wav,Куратором в этот раз впервые назначена женщина - японский архитектор Кадзуо Седзима.,84,7.001,44100
124,104204.wav,wavs\104204.wav,Сотрудники наркополиции России и Китая в ходе трех спецопераций изъяли триста килограммов токсичного синтетического наркотика.,126,9.221,44100
125,324720.wav,wavs\324720.wav,О трагедии сообщил портал RusTurkey.com.,40,3.239,44100
126,057298.wav,wavs\057298.wav,До две тысячи шестой года Illustrious будет единственным действующим авианосцем Королевских ВМС.,96,7.236,44100
127,219663.wav,wavs\219663.wav,Однако еще за некоторое время до происшествия с самолетом правительство Сербии развернуло кампанию за запрещение подобного способа отмечать торжества.,150,11.102,44100
128,148776.wav,wavs\148776.wav,При этом парламентарии в очередной раз отклонили предложение сделать православное Рождество официальным праздником.,115,8.359,44100
129,085934.wav,wavs\085934.wav,"Ученые предполагают, что микробы могут также изменять личность инфицированного человека.",88,6.269,44100
130,258601.wav,wavs\258601.wav,Центробанк России отзывает лицензии у финансовых организаций почти каждую неделю.,81,5.982,44100
131,204862.wav,wavs\204862.wav,При составлении рейтинга учитывались рейсы из всех российских аэропортов во все пункты назначения каждой страны.,112,9.273,44100
132,161776.wav,wavs\161776.wav,"Подтвердил слова тренера и одноклубник Орехова, нападающий клуба Сергей Шунькин.",80,6.165,44100
133,149821.wav,wavs\149821.wav,"В результате инцидента троих военных госпитализировали, их состояние оценивается как стабильное.",96,7.105,44100
134,428025.wav,wavs\428025.wav,О необходимости лечить Тимошенко за рубежом неоднократно заявляли ее сторонники.,80,5.93,44100
135,388928.wav,wavs\388928.wav,"Так, они пожаловались, что компании непозволительно выпускать подобную функцию для американского праздника, а для китайского — нет.",131,9.273,44100
136,013557.wav,wavs\013557.wav,"По словам задержанного, погибший незадолго до убийства налетел на него, после чего оскорбил.",92,7.105,44100
137,156972.wav,wavs\156972.wav,"Впрочем, в течение следующей недели все фракции вернулись в Думу.",65,4.441,44100
138,300409.wav,wavs\300409.wav,"Как сообщается, Шимон Перес намерен ознакомиться с каждым делом лично, но не планирует чинить препятствия в освобождении кого-либо.",131,10.109,44100
139,032990.wav,wavs\032990.wav,"«В работе находится лишь Кондрашевский водозабор, и вода в город поступает из собственных источников-скважин», — сообщает горсовет.",131,9.456,44100
140,095848.wav,wavs\095848.wav,Рядом с блокпостом находится завод по производству сельскохозяйственной техники.,80,5.512,44100
141,050976.wav,wavs\050976.wav,В колбасах и охлажденных полуфабрикатах было выявлено превышение предельно допустимого уровня содержания микроорганизмов — кишечных палочек и листерий.,151,11.285,44100
142,067863.wav,wavs\067863.wav,"Россия в две тысячи одиннадцатом году поставит в Евросоюз около 2,5 тонн черной икры.",85,8.176,44100
143,458119.wav,wavs\458119.wav,"В том числе в две тысячи двенадцать ""квартирный"" вопрос решился для 718-и семей.",80,7.471,44100
144,455485.wav,wavs\455485.wav,Впоследствии сообщники получили от Ежова часть суммы и разделили на троих.,74,5.46,44100
145,096096.wav,wavs\096096.wav,"Как сообщила методист по спорту ДЮСШ Ольга Селезнева, решение руководства об увольнении удивило директора школы.",112,8.803,44100
146,452255.wav,wavs\452255.wav,"Устройство устанавливают в трубах, по которым передвигаются животные.",69,4.206,44100
147,389197.wav,wavs\389197.wav,"Организовать фестиваль в столь сжатые сроки и в существующей ситуации, по словам Киселева, было непростой задачей.",114,8.124,44100
148,026210.wav,wavs\026210.wav,"К таким выводам пришли эксперты компании Nielsen по итогам нового глобального исследования, результаты которого есть в распоряжении «Ленты.ру».",143,11.102,44100
149,055316.wav,wavs\055316.wav,"О том, что тренер может возглавить уфимскую команду, восьмого ноября сообщил сайт издания ""Спорт-Экспресс"".",107,7.758,44100
150,369233.wav,wavs\369233.wav,"Банки стараются показать, что двигаются в верном направлении"", - заявил Доминик Милмо-Пенни, арт-дилер из Дублина.",114,8.255,44100
151,283901.wav,wavs\283901.wav,Мужчина более года не платил алименты двум своим дочерям в возрасте тринадцать и семнадцать лет.,96,8.124,44100
152,296523.wav,wavs\296523.wav,"«Турецкая экономика растет, нуждается в дополнительных ресурсах.",64,5.198,44100
153,519055.wav,wavs\519055.wav,"По его словам, надо укреплять доверие между властью и бизнесом.",63,4.31,44100
154,290348.wav,wavs\290348.wav,"Ученый нашел способ дезактивировать CTLA-4 с помощью антител, что позволяет Т-лимфоцитам бороться с опухолью.",109,9.691,44100
155,030645.wav,wavs\030645.wav,При этом учитывались расценки на семь ночей при проживании двоих человек в две тысячи пятнадцатом году.,103,7.549,44100
156,350357.wav,wavs\350357.wav,"Там была одна блондинка, а другая брюнетка.",43,3.37,44100
157,253544.wav,wavs\253544.wav,"По словам музыканта, его профессионально притесняют из-за традиционной сексуальной ориентации.",94,6.818,44100
158,238709.wav,wavs\238709.wav,"Вслед за этим последовали еще несколько подобных церемоний в нескольких штатах, пока в дело не вмешался суд.",108,8.02,44100
159,465128.wav,wavs\465128.wav,"Об этом сообщает местное издание ""Данкор"".",42,2.926,44100
160,456528.wav,wavs\456528.wav,Призы за лучшую режиссуру и лучший спектакль на большой сцене получил руководитель Малого драматического театра Лев Додин.,122,8.594,44100
161,332688.wav,wavs\332688.wav,Команда занимает третье место в таблице Западной конференции.,61,4.598,44100
162,202019.wav,wavs\202019.wav,Эксперты должны определить подлинность пленки и узнать ее происхождение.,72,5.564,44100
163,036345.wav,wavs\036345.wav,Он был признан виновным и уже отсидел за него десять лет.,57,3.788,44100
164,093285.wav,wavs\093285.wav,В качестве вероятного преемника Третьякова некоторые источники называли бывшего главного редактора The New Times Рафа Шакирова.,127,9.927,44100
165,328199.wav,wavs\328199.wav,"К географическому Северному полюсу британец был доставлен ледоколом, идущим из Мурманска.",89,6.531,44100
166,528690.wav,wavs\528690.wav,"Пожилая женщина подозревается в совершении преступления, предусмотренного частью один статьи сто девять УК РФ «Причинение смерти по неосторожности».",148,12.147,44100
167,041455.wav,wavs\041455.wav,"Он находится в районе «Сокольники» и расположен в мансарде, за счет чего имеет очень высокие потолки.",101,7.419,44100
168,360822.wav,wavs\360822.wav,О его участии в проекте уже было известно ранее.,48,3.239,44100
169,048903.wav,wavs\048903.wav,Они получили кодовое название Steam Machines.,45,3.762,44100
170,164947.wav,wavs\164947.wav,"За аналогичный период прошлого года этот показатель составлял двадцать процентов, а за пятнадцать дней марта две тысячи семнадцатого года достиг тридцать процентов.",164,12.8,44100
171,272901.wav,wavs\272901.wav,"Документы, обнародованные экс-сотрудником ЦРУ Эдвардом Сноуденом, свидетельствуют о том, что Агентство национальной безопасности США вело слежку за президентом Бразилии.",169,13.61,44100
172,081134.wav,wavs\081134.wav,"По закону ""О валютном регулировании и валютном контроле"", говорили они, лицензированию подлежат валютные операции.",114,9.221,44100
173,434631.wav,wavs\434631.wav,"Что конкретно произошло с ними, не уточняется.",46,3.709,44100
174,441021.wav,wavs\441021.wav,Об этом сообщает радиостанция «Говорит Москва» со ссылкой на источник в ведомстве.,82,5.616,44100
175,261912.wav,wavs\261912.wav,"Разработкой Wet, официальный анонс которой состоялся в августе две тысячи седьмой года, занимается студия Artificial Mind and Movement A2M.",139,10.998,44100
176,245210.wav,wavs\245210.wav,При этом женщины переписываются чаще мужчин.,44,3.422,44100
177,148230.wav,wavs\148230.wav,"""Мы рассчитываем, что второго декабря господин Лазаренко останется на свободе, - сказал адвокат экс-премьера Дэниел Горовиц.",124,9.012,44100
178,350072.wav,wavs\350072.wav,"По информации СБУ, в июле две тысячи семнадцатого года он поехал в гости к родственникам и якобы был завербован российскими спецслужбами.",137,10.762,44100
179,017256.wav,wavs\017256.wav,"Блогохостинг Wordpress.com стал официальной службой блогов для онлайн-сервисов Windows Live, сообщается в официальном блоге Windows.",132,9.273,44100
180,206830.wav,wavs\206830.wav,Но данный иск был отклонен.,27,2.09,44100
181,350522.wav,wavs\350522.wav,"«Сожалею, что пришлось назвать премьер-министра Арсения Яценюка вором, но еще более сожалею, что это правда .",109,8.49,44100
182,328183.wav,wavs\328183.wav,"В настоящее время для поддержки российского автомобильного рынка запущены государственные программы обновления автопарка, льготного автокредитования и льготного лизинга.",169,12.722,44100
183,398769.wav,wavs\398769.wav,"Однако, Дзоффу быстро нашли замену в лице Траппатони, с которым подписан двухлетний контракт.",93,6.269,44100
184,471278.wav,wavs\471278.wav,"Где двадцатьвосемилетний Одиа может продолжить карьеру, не уточняется.",70,5.198,44100
185,518635.wav,wavs\518635.wav,С начала текущего года в Казахстане были уволены тридцать пять судей.,69,5.669,44100
186,108295.wav,wavs\108295.wav,Об этом сообщается на сайте министерства регионального развития и инфраструктуры Грузии.,88,5.851,44100
187,517201.wav,wavs\517201.wav,"Предполагалось, что на этом канале журналистка будет заниматься специальными репортерскими проектами.",101,7.184,44100
188,025943.wav,wavs\025943.wav,Данная покупка стала самой дорогой на OneTwoTrip в этом году.,61,4.31,44100
189,514348.wav,wavs\514348.wav,"Кроме того, прорабатывается вопрос об упрощенном порядке предоставления российского гражданства гражданам СНГ.",110,8.02,44100
190,240599.wav,wavs\240599.wav,Новую проверку аэропортов этой страны министр транспорта Максим Соколов анонсировал в середине сентября.,104,7.758,44100
191,535376.wav,wavs\535376.wav,"В бюджет Индонезии на 2015-две тысячи шестнадцатого годаоды заложены средства на приобретение военной техники российского производства, включая боевые самолеты, сообщает ТАСС.",175,15.177,44100
192,420198.wav,wavs\420198.wav,"Взрывотехники пытаются установить, являлся ли прикрепленный к ошейнику предмет настоящим взрывным устройством или его муляжом.",126,9.273,44100
193,148081.wav,wavs\148081.wav,"Так, АВС не будет показывать в субботу фильм ""Миротворец"" The Peacemaker, одна тысяча девятьсот девяносто семь с Джорджем Клуни и Николь Кидман.",144,12.199,44100
194,156787.wav,wavs\156787.wav,Газета выходит ежедневным тиражом около пятьсот двадцать пять тысяч экземпляров.,80,6.348,44100
195,376004.wav,wavs\376004.wav,"Cледом за ним идут имена isk.ru 30 тысяч, partia.ru и skins.ru по двадцать тысяч, реально пока не работающие.",109,9.874,44100
196,453464.wav,wavs\453464.wav,"Об этом во вторник, девятнадцатого апреля, блогер Алексей Навальный написал на личном сайте.",92,7.105,44100
197,159375.wav,wavs\159375.wav,"По ее информации, шестьдесятвосемилетний гражданин России по имени Николай Кудинов утром пошел плавать в море.",110,9.613,44100
198,187270.wav,wavs\187270.wav,О возможных санкциях для ретейлера в сообщении Россельхознадзора не говорится.,78,5.381,44100
199,030972.wav,wavs\030972.wav,"Он называл ее Little Kraut ""Немочкой"" или ""дочкой"", а она его ""Папой"".",70,5.799,44100
200,054516.wav,wavs\054516.wav,"Московская милиция провела в середине января операцию ""Попрошайка"", в ходе которой были задержаны более 6,5 тысячи бомжей.",122,10.214,44100
201,410185.wav,wavs\410185.wav,Ми-8 вылетел из аэропорта Ниялы около девять часов двадцать минут утра по местному времени десять часов двадцать минут мск.,123,10.344,44100
